lemma,upos,us,uk,count
flavor,NOUN,/ˈfɫeɪvɝ/,/flˈe‍ɪvɐ/,6222543
alike,ADJ,/əˈɫaɪk/,/ɐlˈa‍ɪk/,6220739
homeless,ADJ,/ˈhoʊmɫəs/,/hˈə‍ʊmləs/,6218611
horrible,ADJ,/ˈhɔɹəbəɫ/,/hˈɒɹɪbə‍l/,6218089
hungry,ADJ,/ˈhəŋɡɹi/,/hˈʌŋɡɹi/,6217455
metallic,NOUN,/məˈtæɫɪk/,/mətˈælɪk/,6216751
acne,NOUN,/ˈækni/,/ˈækni/,6215449
interference,NOUN,/ˌɪnɝˈfɪɹəns/,/ˌɪntəfˈi‍əɹəns/,6209872
undo,NOUN,/ənˈdu/,/ʌndˈuː/,6201919
atmospheric,NOUN,/ˌætməsˈfɛɹɪk/,/ˌætməsfˈɛɹɪk/,6200192
halo,INTJ,/ˈheɪɫoʊ/,/hˈe‍ɪlə‍ʊ/,6194202
ppm,NOUN,/ˈpiˈpiˈɛm/,/pˌiːpˌiːˈɛm/,6193757
parental,ADJ,/pɝˈɛntəɫ/,/pəɹˈɛntə‍l/,6191119
strikes,NOUN,/ˈstɹaɪks/,/stɹˈa‍ɪks/,6186772
lesser,ADJ,/ˈɫɛsɝ/,/lˈɛsɐ/,6186413
publicity,NOUN,/pəˈbɫɪsəti/,/pʌblˈɪsɪti/,6185967
marathon,NOUN,/ˈmɛɹəˌθɑn/,/mˈæɹəθən/,6184918
ant,ADJ,/ˈænt/,/ˈænt/,6182704
proposition,NOUN,/ˌpɹɑpəˈzɪʃən/,/pɹˌɒpəzˈɪʃən/,6182044
gasoline,NOUN,/ˈɡæsəˌɫin/,/ɡˈæsəlˌiːn/,6179239
apt,NOUN,/ˈæpt/,/ˈæpt/,6178351
scout,NOUN,/ˈskaʊt/,/skˈa‍ʊt/,6176157
exec,X,/ˌɛɡˈzɛk/,/ɛɡzˈɛk/,6175969
charms,NOUN,/ˈtʃɑɹmz/,/t‍ʃˈɑːmz/,6168055
catalyst,NOUN,/ˈkætəɫəst/,/kˈætɐlˌɪst/,6166925
trader,NOUN,/ˈtɹeɪdɝ/,/tɹˈe‍ɪdɐ/,6166016
bucks,NOUN,/ˈbəks/,/bˈʌks/,6165133
allowance,NOUN,/əˈɫaʊəns/,/ɐlˈa‍ʊəns/,6163760
denial,ADJ,/dɪˈnaɪəɫ/,/dɪnˈa‍ɪə‍l/,6157847
designation,NOUN,/ˌdɛzəɡˈneɪʃən/,/dˌɛzɪɡnˈe‍ɪʃən/,6156865
gem,NOUN,/ˈdʒɛm/,/d‍ʒˈɛm/,6147908
electro,NOUN,/ɪˈɫɛktɹoʊ/,/ɪlˈɛktɹə‍ʊ/,6146299
criterion,NOUN,/kɹaɪˈtɪɹiən/,/kɹa‍ɪtˈi‍əɹɪən/,6145788
badge,NOUN,/ˈbædʒ/,/bˈæd‍ʒ/,6145138
wrist,NOUN,/ˈɹɪst/,/ɹˈɪst/,6143580
heath,NOUN,/ˈhiθ/,/hˈiːθ/,6139151
tremendous,ADJ,/tɹəˈmɛndəs/,/tɹəmˈɛndəs/,6136813
ballot,NOUN,/ˈbæɫət/,/bˈælət/,6136404
validity,NOUN,/vəˈɫɪdəti/,/vælˈɪdɪti/,6132692
trustee,NOUN,/ˌtɹəsˈti/,/tɹˈʌstiː/,6132688
squirt,NOUN,/ˈskwɝt/,/skwˈɜːt/,6126880
realm,X,/ˈɹɛɫm/,/ɹˈɛlm/,6122762
jenny,NOUN,/ˈdʒɛni/,/d‍ʒˈɛni/,6118544
helmet,X,/ˈhɛɫmət/,/hˈɛlmɪt/,6117300
postcard,X,/ˈpoʊˌskɑɹd/,/pˈə‍ʊstkɑːd/,6117094
elephant,NOUN,/ˈɛɫəfənt/,/ˈɛlɪfənt/,6116985
tsunami,NOUN,/suˈnɑmi/,/tsuːnˈɑːmi/,6108023
scholar,NOUN,/ˈskɑɫɝ/,/skˈɒlɐ/,6106465
nickel,NOUN,/ˈnɪkəɫ/,/nˈɪkə‍l/,6105089
internationally,ADV,/ˌɪnɝˈnæʃənəɫi/,/ˌɪntənˈæʃənə‍li/,6101687
psi,NOUN,/ˈsaɪ/,/sˈa‍ɪ/,6101411
geology,NOUN,/dʒiˈɑɫədʒi/,/d‍ʒɪˈɒləd‍ʒi/,6099879
coating,NOUN,/ˈkoʊtɪŋ/,/kˈə‍ʊtɪŋ/,6098897
wallet,NOUN,/ˈwɔɫət/,/wˈɒlɪt/,6097891
accomplish,NOUN,/əˈkɑmpɫɪʃ/,/ɐkˈɒmplɪʃ/,6091676
drainage,NOUN,/ˈdɹeɪnədʒ/,/dɹˈe‍ɪnɪd‍ʒ/,6091287
broader,ADJ,/ˈbɹɔdɝ/,/bɹˈɔːdɐ/,6086711
vegetarian,NOUN,/ˌvɛdʒəˈtɛˌɹiən/,/vˌɛd‍ʒɪtˈe‍əɹi‍ən/,6084997
rouge,NOUN,/ˈɹuʒ/,/ɹˈuːʒ/,6084449
yeast,ADJ,/ˈjist/,/jˈiːst/,6083904
ambassador,NOUN,/æmˈbæsədɝ/,/ɐmbˈæsədɐ/,6071252
intend,VERB,/ˌɪnˈtɛnd/,/ɪntˈɛnd/,6069497
vegetation,NOUN,/ˌvɛdʒəˈteɪʃən/,/vˌɛd‍ʒɪtˈe‍ɪʃən/,6067206
doom,NOUN,/ˈdum/,/dˈuːm/,6066610
specially,ADV,/ˈspɛʃəɫi/,/spˈɛʃə‍lˌi/,6065220
bite,X,/ˈbaɪt/,/bˈa‍ɪt/,6058201
aquatic,ADJ,/əˈkwætɪk/,/əkwˈætɪk/,6056753
reliance,NOUN,/ɹiˈɫaɪəns/,/ɹɪlˈa‍ɪəns/,6056226
myth,NOUN,/ˈmɪθ/,/mˈɪθ/,6053018
infectious,ADJ,/ˌɪnˈfɛkʃəs/,/ɪnfˈɛkʃəs/,6051038
gig,X,/ˈɡɪɡ/,/ɡˈɪɡ/,6049004
gilbert,NOUN,/ˈɡɪɫbɝt/,/ɡˈɪlbət/,6048799
continuity,NOUN,/ˌkɑntəˈnuəti/,/kɒntɪnjˈuːɪti/,6045562
brook,VERB,/ˈbɹʊk/,/bɹˈʊk/,6044943
outputs,NOUN,/ˈaʊtˌpʊts/,/ˈa‍ʊtpˌʊts/,6043129
phenomenon,NOUN,/fəˈnɑməˌnɑn/,/fɪnˈɒmɪnən/,6041881
ensemble,NOUN,/ɑnˈsɑmbəɫ/,/ɒnsˈɒmbə‍l/,6041105
insulin,ADV,/ˈɪnsəɫən/,/ˈɪnsuːlˌɪn/,6039475
biblical,ADJ,/ˈbɪbɫəkəɫ/,/bˈɪblɪkə‍l/,6038616
weed,VERB,/ˈwid/,/wˈiːd/,6037596
conscious,ADJ,/ˈkɑnʃəs/,/kˈɒnʃəs/,6037028
eleven,ADV,/ˈiɫɛvən/,/ɪlˈɛvən/,6033802
ambient,ADJ,/ˈæmbiənt/,/ˈæmbi‍ənt/,6031360
mileage,NOUN,/ˈmaɪɫədʒ/,/mˈa‍ɪlɪd‍ʒ/,6029552
prostate,NOUN,/ˈpɹɑˌsteɪt/,/pɹˈɒste‍ɪt/,6027360
adaptor,NOUN,/əˈdæptɝ/,/ɐdˈæptɐ/,6027066
auburn,NOUN,/ˈɑbɝn/,/ˈɔːbɜːn/,6026025
unlock,NOUN,/ənˈɫɑk/,/ʌnlˈɒk/,6026007
pledge,PROPN,/ˈpɫɛdʒ/,/plˈɛd‍ʒ/,6025016
vampire,NOUN,/ˈvæmpaɪɹ/,/vˈæmpa‍ɪ‍ə/,6024192
nitrogen,NOUN,/ˈnaɪtɹədʒən/,/nˈa‍ɪtɹəd‍ʒən/,6022130
xerox,NOUN,/ˈzɪɹɑks/,/zˈi‍əɹɒks/,6022102
dice,NOUN,/ˈdaɪs/,/dˈa‍ɪs/,6021831
merger,NOUN,/ˈmɝdʒɝ/,/mˈɜːd‍ʒɐ/,6021111
softball,NOUN,/ˈsɔfˌbɔɫ/,/sˈɒftbɔːl/,6020491
quad,NOUN,/ˈkwɑd/,/kwˈɒd/,6017819
dock,NOUN,/ˈdɑk/,/dˈɒk/,6017754
differently,ADV,/ˈdɪfɝˈɛntɫi/,/dˈɪfɹəntli/,6017583
musician,NOUN,/mjuˈzɪʃən/,/mjuːzˈɪʃən/,6011315
dispatch,NOUN,/dɪˈspætʃ/,/dɪspˈæt‍ʃ/,6004425
hint,VERB,/ˈhɪnt/,/hˈɪnt/,6001895
varies,NOUN,/ˈvɛɹiz/,/vˈe‍əɹiz/,5999198
charitable,ADJ,/ˈtʃæɹətəbəɫ/,/t‍ʃˈæɹɪtəbə‍l/,5989558
researcher,NOUN,/ˈɹisɝtʃɝ/,/ɹɪsˈɜːt‍ʃɐ/,5982544
nudity,NOUN,/ˈnudɪti/,/njˈuːdɪti/,5978413
pockets,NOUN,/ˈpɑkəts/,/pˈɒkɪts/,5975452
granny,NOUN,/ˈɡɹæni/,/ɡɹˈæni/,5975081
pork,NOUN,/ˈpɔɹk/,/pˈɔːk/,5973507
equilibrium,X,/ˌikwəˈɫɪbɹiəm/,/ˌiːkwɪlˈɪbɹi‍əm/,5971011
viral,ADJ,/ˈvaɪɹəɫ/,/vˈa‍ɪ‍əɹə‍l/,5969493
inquire,VERB,/ˌɪnˈkwaɪɹ/,/ɪnkwˈa‍ɪ‍ə/,5968138
laden,ADV,/ˈɫeɪdən/,/lˈe‍ɪdən/,5964620
realtor,NOUN,/ˈɹiəɫtɝ/,/ɹˈi‍əltɐ/,5962026
merge,NOUN,/ˈmɝdʒ/,/mˈɜːd‍ʒ/,5961585
privilege,NOUN,/ˈpɹɪvɪɫədʒ/,/pɹˈɪvɪlɪd‍ʒ/,5960038
estimation,NOUN,/ˌɛstəˈmeɪʃən/,/ˌɛstɪmˈe‍ɪʃən/,5952184
barn,NOUN,/ˈbɑɹn/,/bˈɑːn/,5952183
fleece,NOUN,/ˈfɫis/,/flˈiːs/,5950232
fare,NOUN,/ˈfɛɹ/,/fˈe‍ə/,5949355
pierce,NOUN,/ˈpɪɹs/,/pˈi‍əs/,5946907
dressing,NOUN,/ˈdɹɛsɪŋ/,/dɹˈɛsɪŋ/,5944875
sperm,NOUN,/ˈspɝm/,/spˈɜːm/,5944531
bald,ADJ,/ˈbɔɫd/,/bˈɔːld/,5944017
frost,ADJ,/ˈfɹɔst/,/fɹˈɒst/,5940685
mold,NOUN,/ˈmoʊɫd/,/mˈə‍ʊld/,5937161
dame,NOUN,/ˈdeɪm/,/dˈe‍ɪm/,5935872
sally,NOUN,/ˈsæɫi/,/sˈæli/,5933047
yacht,INTJ,/ˈjɑt/,/jˈɒt/,5932756
herb,X,/ˈɝb/,/hˈɜːb/,5930548
breach,NOUN,/ˈbɹitʃ/,/bɹˈiːt‍ʃ/,5928795
whale,NOUN,/ˈhweɪɫ/,/wˈe‍ɪl/,5928569
traveller,NOUN,/ˈtɹævəɫɝ/,/tɹˈævəlɐ/,5928308
appropriations,NOUN,/əˌpɹoʊpɹiˈeɪʃənz/,/ɐpɹˌə‍ʊpɹɪˈe‍ɪʃənz/,5926818
benchmark,NOUN,/ˈbɛntʃˌmɑɹk/,/bˈɛnt‍ʃmɑːk/,5924880
stationery,NOUN,/ˈsteɪʃəˌnɛɹi/,/stˈe‍ɪʃənəɹi/,5923389
idle,ADJ,/ˈaɪdəɫ/,/ˈa‍ɪdə‍l/,5921579
mustang,NOUN,/ˈməsˌtæŋ/,/mˈʌstæŋ/,5920696
antibody,NOUN,/ˈæntiˌbɑdi/,/ˈæntɪbˌɒdi/,5917782
competent,ADJ,/ˈkɑmpətɪnt/,/kˈɒmpɪtənt/,5917697
momentum,NOUN,/moʊˈmɛntəm/,/mə‍ʊmˈɛntəm/,5916698
fin,NOUN,/ˈfɪn/,/fˈɪn/,5916557
wiring,NOUN,/ˈwaɪɹɪŋ/,/wˈa‍ɪ‍əɹɪŋ/,5915941
pastor,NOUN,/ˈpæstɝ/,/pˈɑːstɐ/,5915067
mud,NOUN,/ˈməd/,/mˈʌd/,5915017
shark,NOUN,/ˈʃɑɹk/,/ʃˈɑːk/,5904454
contributor,NOUN,/kənˈtɹɪbjətɝ/,/kəntɹˈɪbjuːtɐ/,5902799
grateful,ADJ,/ˈɡɹeɪtfəɫ/,/ɡɹˈe‍ɪtfə‍l/,5901215
emerald,NOUN,/ˈɛmɝɹəɫd/,/ˈɛməɹə‍ld/,5900723
gradually,ADV,/ˈɡɹædʒuəɫi/,/ɡɹˈæd‍ʒuːə‍li/,5900673
cliff,NOUN,/ˈkɫɪf/,/klˈɪf/,5898886
desirable,ADJ,/dɪˈzaɪɝəbəɫ/,/dɪzˈa‍ɪ‍əɹəbə‍l/,5898611
tract,NOUN,/ˈtɹækt/,/tɹˈækt/,5897046
ballet,NOUN,/bæˈɫeɪ/,/bˈæle‍ɪ/,5896294
journalist,NOUN,/ˈdʒɝnəɫəst/,/d‍ʒˈɜːnəlˌɪst/,5895302
bumper,NOUN,/ˈbəmpɝ/,/bˈʌmpɐ/,5888291
afterwards,ADV,/ˈæftɝwɝdz/,/ˈɑːftəwədz/,5887924
webpage,NOUN,/ˈwɛbpɪdʒ/,/wˈɛbpe‍ɪd‍ʒ/,5887682
garlic,NOUN,/ˈɡɑɹɫɪk/,/ɡˈɑːlɪk/,5884664
shine,NOUN,/ˈʃaɪn/,/ʃˈa‍ɪn/,5881862
explosion,NOUN,/ɪksˈpɫoʊʒən/,/ɛksplˈə‍ʊʒən/,5877201
ozone,PRON,/ˈoʊˌzoʊn/,/ˈə‍ʊzə‍ʊn/,5865280
casa,NOUN,/ˈkɑsə/,/kˈɑːsɐ/,5862928
mu,X,/ˈmu/,/mˈuː/,5862273
tariff,NOUN,/ˈtɛɹəf/,/tˈæɹɪf/,5858045
opponent,ADJ,/əˈpoʊnənt/,/əpˈə‍ʊnənt/,5857157
pasta,NOUN,/ˈpɑstə/,/pˈɑːstɐ/,5855460
serum,NOUN,/ˈsɪɹəm/,/sˈɛɹəm/,5854942
swift,NOUN,/ˈswɪft/,/swˈɪft/,5850031
motherboard,NOUN,/ˈməðɝˌbɔɹd/,/mˈʌðəbˌɔːd/,5848082
focal,ADJ,/ˈfoʊkəɫ/,/fˈə‍ʊkə‍l/,5844761
vagina,NOUN,/vəˈdʒaɪnə/,/vəd‍ʒˈa‍ɪnɐ/,5844003
distant,ADJ,/ˈdɪstənt/,/dˈɪstənt/,5843044
champagne,NOUN,/ʃæmˈpeɪn/,/ʃæmpˈe‍ɪn/,5842565
ala,NOUN,/ˈæɫə/,/ɐlˈæ/,5842094
decimal,NOUN,/ˈdɛsəməɫ/,/dˈɛsɪmə‍l/,5842077
deviation,NOUN,/ˌdiviˈeɪʃən/,/dˌiːvɪˈe‍ɪʃən/,5840675
superintendent,ADJ,/ˌsupɝənˈtɛndənt/,/sˌuːpəɹɪntˈɛndənt/,5840171
dip,NOUN,/ˈdɪp/,/dˈɪp/,5839794
samba,NOUN,/ˈsɑmbə/,/sˈæmbɐ/,5838327
hostel,NOUN,/ˈhɑstəɫ/,/hˈɒstə‍l/,5837147
employ,NOUN,/ɛmˈpɫɔɪ/,/ɛmplˈɔ‍ɪ/,5836385
penguin,NOUN,/ˈpɛŋɡwən/,/pˈɛŋɡwɪn/,5835109
magical,ADJ,/ˈmædʒɪkəɫ/,/mˈæd‍ʒɪkə‍l/,5834922
irrigation,NOUN,/ˌɪɹəˈɡeɪʃən/,/ˌɪɹɪɡˈe‍ɪʃən/,5830874
miracle,NOUN,/ˈmɪɹəkəɫ/,/mˈɪɹəkə‍l/,5829725
manually,ADV,/ˈmænjuəɫi/,/mˈænjuːə‍li/,5828485
hydraulic,ADJ,/haɪˈdɹɔɫɪk/,/ha‍ɪdɹˈɔːlɪk/,5825729
flex,SYM,/ˈfɫɛks/,/flˈɛks/,5822075
yearly,ADV,/ˈjɪɹɫi/,/jˈi‍əli/,5822036
penetration,NOUN,/ˌpɛnəˈtɹeɪʃən/,/pˌɛnɪtɹˈe‍ɪʃən/,5821758
belle,NOUN,/ˈbɛɫ/,/bˈɛl/,5820002
conviction,NOUN,/kənˈvɪkʃən/,/kənvˈɪkʃən/,5818769
hash,INTJ,/ˈhæʃ/,/hˈæʃ/,5816883
omissions,NOUN,/oʊˈmɪʃənz/,/ə‍ʊmˈɪʃənz/,5816366
writings,NOUN,/ˈɹaɪtɪŋz/,/ɹˈa‍ɪtɪŋz/,5816200
hamburg,X,/ˈhæmbɝɡ/,/hˈæmbɜːɡ/,5815407
lazy,NOUN,/ˈɫeɪzi/,/lˈe‍ɪzi/,5813872
retrieval,NOUN,/ɹiˈtɹivəɫ/,/ɹɪtɹˈiːvə‍l/,5809664
marvel,NOUN,/ˈmɑɹvəɫ/,/mˈɑːvə‍l/,5803188
dow,NOUN,/ˈdaʊ/,/dˈa‍ʊ/,5798818
prototype,NOUN,/ˈpɹoʊtəˌtaɪp/,/pɹˈə‍ʊtə‍ʊtˌa‍ɪp/,5797559
importantly,ADV,/ˌɪmˈpɔɹtəntɫi/,/ɪmpˈɔːtəntli/,5797467
petite,NOUN,/pəˈtit/,/pətˈiːt/,5796298
apparatus,NOUN,/ˌæpɝˈætəs/,/ˌæpəɹˈe‍ɪtəs/,5795626
terrain,NOUN,/tɝˈeɪn/,/təɹˈe‍ɪn/,5793822
pens,NOUN,/ˈpɛnz/,/pˈɛnz/,5793328
yen,ADV,/ˈjɛn/,/jˈɛn/,5792863
strips,NOUN,/ˈstɹɪps/,/stɹˈɪps/,5791691
gossip,NOUN,/ˈɡɑsəp/,/ɡˈɒsɪp/,5789586
nomination,NOUN,/ˌnɑməˈneɪʃən/,/nˌɒmɪnˈe‍ɪʃən/,5784301
empirical,ADJ,/ˌɛmˈpɪɹɪkəɫ/,/ɛmpˈɪɹɪkə‍l/,5783958
rotary,INTJ,/ˈɹoʊtɝi/,/ɹˈə‍ʊtəɹi/,5782181
worm,NOUN,/ˈwɝm/,/wˈɜːm/,5782079
dependence,NOUN,/dɪˈpɛndəns/,/dɪpˈɛndəns/,5780801
discrete,NOUN,/dɪsˈkɹit/,/dɪskɹˈiːt/,5780056
beginner,NOUN,/bɪˈɡɪnɝ/,/bɪɡˈɪnɐ/,5779949
lid,AUX,/ˈɫɪd/,/lˈɪd/,5776418
sexuality,NOUN,/ˌsɛkʃuˈæɫəti/,/sˈɛkʃuːˈælɪti/,5775359
polyester,NOUN,/ˌpɑˌɫiˈɛstɝ/,/pˈɒlɪəstɐ/,5775223
cubic,ADJ,/ˈkjubɪk/,/kjˈuːbɪk/,5774261
deaf,NOUN,/ˈdɛf/,/dˈɛf/,5774245
sapphire,NOUN,/ˈsæfaɪɝ/,/sˈæfa‍ɪ‍ə/,5772561
kinase,NOUN,/ˈkaɪˌneɪz/,/kˈɪne‍ɪs/,5772539
remainder,NOUN,/ɹiˈmeɪndɝ/,/ɹɪmˈe‍ɪndɐ/,5767514
privileges,NOUN,/ˈpɹɪvɪɫədʒəz/,/pɹˈɪvɪlɪd‍ʒɪz/,5765198
marking,NOUN,/ˈmɑɹkɪŋ/,/mˈɑːkɪŋ/,5763345
sheriff,NOUN,/ˈʃɛɹəf/,/ʃˈɛɹɪf/,5758797
griffin,NOUN,/ˈɡɹɪfɪn/,/ɡɹˈɪfɪn/,5758614
blah,INTJ,/ˈbɫɑ/,/blˈɑː/,5755885
elect,ADJ,/ɪˈɫɛkt/,/ɪlˈɛkt/,5748899
highways,INTJ,/ˈhaɪˌweɪz/,/hˈa‍ɪwe‍ɪz/,5745573
concentrate,ADJ,/ˈkɑnsənˌtɹeɪt/,/kˈɒnsəntɹˌe‍ɪt/,5744544
reproductive,ADJ,/ˌɹipɹəˈdəktɪv/,/ɹɪpɹədˈʌktɪv/,5743545
deadly,ADJ,/ˈdɛdɫi/,/dˈɛdli/,5740299
cunt,NOUN,/ˈkənt/,/kˈʌnt/,5737830
bunny,NOUN,/ˈbəni/,/bˈʌni/,5730050
chevy,NOUN,/ˈʃɛˌvi/,/ʃˈɛvi/,5729809
longest,ADJ,/ˈɫɔŋɡəst/,/lˈɒŋɡəst/,5727593
refrigerator,NOUN,/ɹəˈfɹɪdʒɝˌeɪtɝ/,/ɹɪfɹˈɪd‍ʒəɹˌe‍ɪtɐ/,5726901
sentences,NOUN,/ˈsɛntənsəz/,/sˈɛntənsɪz/,5723424
exclusion,NOUN,/ɪkˈskɫuʒən/,/ɛksklˈuːʒən/,5721930
workstation,NOUN,/ˈwɝkˌsteɪʃən/,/wˈɜːkstˌe‍ɪʃən/,5720085
holocaust,PROPN,/ˈhɑɫəˌkɔst/,/hˈɒləkˌɔːst/,5719888
keen,ADJ,/ˈkin/,/kˈiːn/,5719759
flyer,NOUN,/ˈfɫaɪɝ/,/flˈa‍ɪɐ/,5718564
dosage,NOUN,/ˈdoʊsədʒ/,/dˈə‍ʊsɪd‍ʒ/,5718176
disposition,NOUN,/ˌdɪspəˈzɪʃən/,/dˌɪspəzˈɪʃən/,5717084
variance,NOUN,/ˈvɛɹiəns/,/vˈe‍əɹi‍əns/,5713415
navigator,NOUN,/ˈnævəˌɡeɪtɝ/,/nˈævɪɡˌe‍ɪtɐ/,5712459
baking,NOUN,/ˈbeɪkɪŋ/,/bˈe‍ɪkɪŋ/,5711682
marijuana,NOUN,/ˌmɛɹəˈwɑnə/,/mˌæɹɪwˈɑːnɐ/,5711213
adaptive,ADJ,/əˈdæptɪv/,/ɐdˈæptɪv/,5711114
needle,NOUN,/ˈnidəɫ/,/nˈiːdə‍l/,5708007
cathedral,ADJ,/kəˈθidɹəɫ/,/kɐθˈiːdɹə‍l/,5707027
til,NOUN,/ˈtɪɫ/,/tˈɪl/,5700373
sticky,NOUN,/ˈstɪki/,/stˈɪki/,5698936
destiny,NOUN,/ˈdɛstəni/,/dˈɛstɪni/,5698721
generous,ADJ,/ˈdʒɛnɝəs/,/d‍ʒˈɛnəɹəs/,5698368
madness,NOUN,/ˈmædnəs/,/mˈædnəs/,5698238
climb,VERB,/ˈkɫaɪm/,/klˈa‍ɪm/,5697476
fascinating,ADJ,/ˈfæsəˌneɪtɪŋ/,/fˈæsɪnˌe‍ɪtɪŋ/,5694739
computation,NOUN,/ˌkɑmpjəˈteɪʃən/,/kˌɒmpjuːtˈe‍ɪʃən/,5690959
hay,NOUN,/ˈheɪ/,/hˈe‍ɪ/,5688403
cardiovascular,ADJ,/ˌkɑɹdioʊˈvæskjəɫɝ/,/kˌɑːdɪə‍ʊvˈæskjʊlɐ/,5688372
cardiac,X,/ˈkɑɹdiˌæk/,/kˈɑːdɪˌæk/,5684878
salvation,NOUN,/sæɫˈveɪʃən/,/sælvˈe‍ɪʃən/,5684577
brutal,ADJ,/ˈbɹutəɫ/,/bɹˈuːtə‍l/,5675803
selective,ADJ,/səˈɫɛktɪv/,/sɪlˈɛktɪv/,5674677
arbitration,NOUN,/ˌɑɹbɪˈtɹeɪʃən/,/ˌɑːbɪtɹˈe‍ɪʃən/,5674307
token,NOUN,/ˈtoʊkən/,/tˈə‍ʊkən/,5672353
zinc,NOUN,/ˈzɪŋk/,/zˈɪŋk/,5671140
sacrifice,NOUN,/ˈsækɹəˌfaɪs/,/sˈækɹɪfˌa‍ɪs/,5670665
guru,NOUN,/ˈɡuˌɹu/,/ɡjˈʊɹuː/,5668074
removable,ADJ,/ɹɪˈmuvəbəɫ/,/ɹɪmˈuːvəbə‍l/,5664689
convergence,NOUN,/kənˈvɝdʒəns/,/kənvˈɜːd‍ʒəns/,5663627
levy,VERB,/ˈɫɛvi/,/lˈɛvi/,5663032
numeric,ADJ,/nuˈmɛɹɪk/,/njuːmˈɛɹɪk/,5662908
anthropology,NOUN,/ˌænθɹəˈpɑɫədʒi/,/ˌænθɹəpˈɒləd‍ʒi/,5661140
kinda,ADV,/ˈkɪndə/,/kˈa‍ɪndɐ/,5660928
emperor,NOUN,/ˈɛmpɝɝ/,/ˈɛmpəɹɐ/,5660656
grad,NOUN,/ˈɡɹæd/,/ɡɹˈæd/,5658668
malpractice,NOUN,/mæɫˈpɹæktəs/,/mˌælpɹˈæktɪs/,5656959
bras,NOUN,/ˈbɹæs/,/bɹˈɑːz/,5656032
belts,NOUN,/ˈbɛɫts/,/bˈɛlts/,5651790
burke,INTJ,/ˈbɝk/,/bˈɜːk/,5646090
proudly,ADV,/ˈpɹaʊdɫi/,/pɹˈa‍ʊdli/,5645732
pix,SYM,/ˈpɪks/,/pˈɪks/,5645638
necessity,NOUN,/nəˈsɛsəti/,/nəsˈɛsɪti/,5645294
rendering,NOUN,/ˈɹɛndɝɪŋ/,/ɹˈɛndəɹɪŋ/,5644923
mic,ADJ,/ˈmɪk/,/mˈa‍ɪk/,5643454
kyle,NOUN,/ˈkaɪɫ/,/kˈa‍ɪl/,5640039
obesity,NOUN,/əˈbisəti/,/ə‍ʊbˈiːsətˌi/,5640025
suburban,ADJ,/səˈbɝbən/,/səbˈɜːbən/,5637047
touring,VERB,/ˈtʊɹɪŋ/,/tˈɔːɹɪŋ/,5635653
vertex,SYM,/ˈvɝˌtɛks/,/vˈɜːtɛks/,5633609
hepatitis,NOUN,/ˌhɛpəˈtaɪtəs/,/hˌɛpɐtˈa‍ɪtɪs/,5632394
nationally,ADV,/ˈnæʃənəɫi/,/nˈæʃənə‍li/,5630976
tomato,NOUN,/təˈmɑˌtoʊ/,/təmˈɑːtə‍ʊ/,5630352
waterproof,ADJ,/ˈwɔtɝˌpɹuf/,/wˈɔːtəpɹˌuːf/,5628399
flush,NOUN,/ˈfɫəʃ/,/flˈʌʃ/,5625285
waiver,NOUN,/ˈweɪvɝ/,/wˈe‍ɪvɐ/,5625238
pale,VERB,/ˈpeɪɫ/,/pˈe‍ɪl/,5622699
humanitarian,ADJ,/ˌhjuˌmænəˈtɛɹiən/,/hjˌuːmɐnɪtˈe‍əɹi‍ən/,5621464
functioning,VERB,/ˈfəŋkʃənɪŋ/,/fˈʌŋkʃənɪŋ/,5619525
delight,NOUN,/dɪˈɫaɪt/,/dɪlˈa‍ɪt/,5619474
survivor,NOUN,/sɝˈvaɪvɝ/,/səvˈa‍ɪvɐ/,5618749
bacterial,ADJ,/bækˈtɪɹiəɫ/,/bæktˈi‍əɹɪə‍l/,5616140
undertake,VERB,/ˈəndɝˌteɪk/,/ˌʌndətˈe‍ɪk/,5613443
declare,NOUN,/dɪˈkɫɛɹ/,/dɪklˈe‍ə/,5612067
continuously,ADV,/kənˈtɪnjuəsɫi/,/kəntˈɪnjuːəsli/,5610397
gaps,NOUN,/ˈɡæps/,/ɡˈæps/,5608655
jewel,NOUN,/ˈdʒuəɫ/,/d‍ʒˈuːəl/,5603871
teddy,NOUN,/ˈtɛdi/,/tˈɛdi/,5602073
convertible,ADJ,/kənˈvɝtəbəɫ/,/kənvˈɜːtəbə‍l/,5600483
nil,NOUN,/ˈnɪɫ/,/nˈɪl/,5598171
stranger,NOUN,/ˈstɹeɪndʒɝ/,/stɹˈe‍ɪnd‍ʒɐ/,5595615
tragedy,NOUN,/ˈtɹædʒədi/,/tɹˈæd‍ʒədi/,5594610
nest,NOUN,/ˈnɛst/,/nˈɛst/,5593866
dryer,NOUN,/ˈdɹaɪɝ/,/dɹˈa‍ɪɐ/,5592001
painful,ADJ,/ˈpeɪnfəɫ/,/pˈe‍ɪnfə‍l/,5591729
velvet,NOUN,/ˈvɛɫvət/,/vˈɛlvɪt/,5591498
tribunal,ADJ,/tɹəbˈjunəɫ/,/tɹa‍ɪbjˈuːnə‍l/,5589955
funky,INTJ,/ˈfəŋki/,/fˈʌŋki/,5587279
secretariat,NOUN,/ˌsɛkɹɪˈtɛɹiət/,/sˌɛkɹɪtˈe‍əɹɪˌæt/,5585386
